Num	X.1	X	N	gene	beta	pval	varexp
1	1	gene100001	1	0610005C13Rik	0.0202901580185025	1	0
2	2	gene100002	2	0610006L08Rik	0.00688572851958497	1	0
3	3	gene100003	3	0610009B22Rik	-0.0533247908494534	0.0664841424856708	0.506263350873789
4	4	gene100004	4	0610009E02Rik	0.0146192735642975	1	0
5	5	gene100005	5	0610009L18Rik	0.0151020473932946	0.920088570549113	0.0158557072416936
6	6	gene100006	6	0610010F05Rik	-2.51302867903892	0.00225798715612517	0.586142498119568
7	7	gene100007	7	0610010K14Rik	0.149648467282038	0.000255480703519296	0.693488518624923
8	8	gene100008	8	0610012D04Rik	-0.275264582893704	0.00103610024274957	0.601414482060197
9	9	gene100009	9	0610012G03Rik	-0.334517845914142	0.0466944768191455	0.377842338428499
10	10	gene100010	10	0610025J13Rik	-0.00334500877661663	1	0
11	11	gene100011	11	0610030E20Rik	-0.374805312947661	0.265681884578232	0.366447274108239
12	12	gene100012	12	0610031O16Rik	0.0329821327340941	1	0
13	13	gene100013	13	0610033M10Rik	-0.00690743458167183	1	0
14	14	gene100014	14	0610038B21Rik	-0.0187953195285182	0.152568897443369	0.276697663755303
15	15	gene100015	15	0610039K10Rik	-0.0430299998999144	1	0
16	16	gene100016	16	0610040B10Rik	-0.0402786989318191	1	0
17	17	gene100017	17	0610040F04Rik	-0.0252037063065744	0.852401033561741	0.0374504430431977
18	18	gene100018	18	0610040J01Rik	0.019440998442775	0.858490732887583	0.0330180307953029
19	19	gene100019	19	0610043K17Rik	0.0813824093548587	0.00345329506707956	0.729364468300571
20	20	gene100020	20	0710001A04Rik	0.000122101751046323	1	0
21	21	gene100021	21	1010001B22Rik	0.0116617655031502	1	2.04702286016888e-09
22	22	gene100022	22	1100001I12Rik	-0.00752892795650261	0.419364320743435	0.18293075072804
23	23	gene100023	23	1110002E22Rik	-0.014963127998656	1	0
24	24	gene100024	24	1110002J07Rik	0.0288600232385839	1	0
25	25	gene100025	25	1110002L01Rik	0.0571102084660924	0.00247295090411911	0.627984964486258
26	26	gene100026	26	1110002O04Rik	0.0111847977077807	0.999999904884748	0
27	27	gene100027	27	1110003F10Rik	0.0515605244697908	0.0150125286952496	0.51693043273118
28	28	gene100028	28	1110004F10Rik	0.795687347051774	0.132426792271222	0.275500926728906
29	29	gene100029	29	1110006O24Rik	-0.0544450899247558	0.596701257602034	0.209657534550122
30	30	gene100030	30	1110008E08Rik	0.00540898652661552	1	0
31	31	gene100031	31	1110008P14Rik	-0.670535005620935	1.60481946170027e-06	0.862162921488729
32	32	gene100032	32	1110012L19Rik	-0.456462168364162	0.961156603432323	0.010954636998232
33	33	gene100033	33	1110013H19Rik	0.0438015508567959	1	0
34	34	gene100034	34	1110015O18Rik	-0.0160930531687136	0.969127006788886	0.00895054533474195
35	35	gene100035	35	1110017D15Rik	-0.0220480993021239	1	0
36	36	gene100036	36	1110018N20Rik	0.0042916709122484	0.92271423954401	0.0174125996021368
37	37	gene100037	37	1110019B22Rik	-0.00623932919529776	1	0
38	38	gene100038	38	1110019D14Rik	-0.0325586601388968	1	0
39	39	gene100039	39	1110020A21Rik	0.0634114848066333	0.520831332062225	0.145476477317681
40	40	gene100040	40	1110025L11Rik	0.000365751057058912	0.0702676252415981	0.60073130226658
41	41	gene100041	41	1110025M09Rik	-0.0181152206705012	1	0
42	42	gene100042	42	1110028F11Rik	-0.129765358166665	0.794498338528544	0.086503110973057
43	43	gene100043	43	1110028F18Rik	0.00414076845034493	1	0
44	44	gene100044	44	1110032A03Rik	-0.151080426706753	0.999999865486721	0
45	45	gene100045	45	1110032F04Rik	0.24486835607478	1.03251969507429e-06	0.883651621830203
46	46	gene100046	46	1110035H17Rik	-0.0230263759120825	0.111793019292537	0.348377638140897
47	47	gene100047	47	1110038B12Rik	0.906244475813404	0.235303052676814	0.287610869788185
48	48	gene100048	48	1110038F14Rik	0.628851914084173	0.00899703228935555	0.502211264358948
49	49	gene100049	49	1110046J04Rik	0.0266760090915184	0.149562731872606	0.307028714151389
50	50	gene100050	50	1110051M20Rik	0.796327254842834	0.00517778720540791	0.525374201840894
51	51	gene100051	51	1110057P08Rik	0.000648120736469225	0.647936170661559	0.0751652720462214
52	52	gene100052	52	1110059E24Rik	0.0315765677974779	1.18141793461916e-05	0.851681578515033
53	53	gene100053	53	1110059G10Rik	-0.307010697155799	1	0
54	54	gene100054	54	1110060G06Rik	-0.016192684288311	1	0
55	55	gene100055	55	1110065P20Rik	-0.0508965564729859	0.720139775647138	0.0787324365448989
56	56	gene100056	56	1190001M18Rik	-0.0307626081583581	1	0
57	57	gene100057	57	1190005I06Rik	0.00520772206230475	0.431916349546196	0.138669499346985
58	58	gene100058	58	1190007I07Rik	0.160935600363627	0.655439790271384	0.149007555398463
59	59	gene100059	59	1190028D05Rik	-0.00458656788857528	0.999999883508083	0
60	60	gene100060	60	1200007C13Rik	-0.0291110154403773	1	0
61	61	gene100061	61	1300002E11Rik	0.141876697034404	1	0
62	62	gene100062	62	1300014J16Rik	-0.0961971273384249	0.0595273502248314	0.34249167898967
63	63	gene100063	63	1300017J02Rik	-0.0100306815877618	1	0
64	64	gene100064	64	1500002C15Rik	-0.0766981380701878	0.10004681016208	0.32529575940657
65	65	gene100065	65	1500002F19Rik	0.0194904218316774	0.0761730454706113	0.578551371124185
66	66	gene100066	66	1500004A13Rik	0.0729658481775292	0.0541361266311896	0.385137943248689
67	67	gene100067	67	1500005C15Rik	0.0110479680312066	0.410172929160713	0.296691279165702
68	68	gene100068	68	1500009C09Rik	0.000546660626914003	1	0
69	69	gene100069	69	1500009L16Rik	-0.00716158468974327	0.225333127013645	0.301191115864763
70	70	gene100070	70	1500011B03Rik	1.07064998383952	0.00125037973720028	0.59316247921322
71	71	gene100071	71	1500012K07Rik	0.0214541410593804	0.841263045779517	0.0364925350402719
72	72	gene100072	72	1500015A07Rik	0.552357906729839	0.0732320529926223	0.368671509500803
73	73	gene100073	73	1500015L24Rik	-0.0198944748617609	1	0
74	74	gene100074	74	1500026H17Rik	0.0474386580370698	1	0
75	75	gene100075	75	1500032F14Rik	-0.00324781599834205	0.159706591455507	0.494980848781871
76	76	gene100076	76	1500035N22Rik	0.0639007796923117	1	0
77	77	gene100077	77	1520401A03Rik	0.0165964228161482	1	0
78	78	gene100078	78	1600002D24Rik	0.000186853592052935	1	0
79	79	gene100079	79	1600010M07Rik	-0.0378731300705495	0.0844353538388045	0.503514814387901
80	80	gene100080	80	1600012H06Rik	-2.3200838216751	0.0121669790153931	0.462767435541135
81	81	gene100081	81	1600012P17Rik	-0.00141551993162035	1	0
82	82	gene100082	82	1600014C10Rik	3.24829519470016	0.129380883851583	0.294055443190724
83	83	gene100083	83	1600014C23Rik	-0.00524352445681714	0.999999798230082	0
84	84	gene100086	84	1600020E01Rik	1.08879958131458	0.0143524871772769	0.460837712804754
85	85	gene100087	85	1600022D10Rik	0.00857848610263397	0.999999904884748	0
86	86	gene100088	86	1600023N17Rik	0.0146350926514089	1	0
87	87	gene100089	87	1600025M17Rik	0.000162010134523502	1	0
88	88	gene100090	88	1600027J07Rik	-0.00676788862764936	0.898087391026034	0.0625268136864098
89	89	gene100091	89	1600029O15Rik	0.113188009259656	0.000522448736148624	0.635436223687103
90	90	gene100092	90	1700001C19Rik	-0.0474531074192476	0.623603102091324	0.0886928118451544
91	91	gene100093	91	1700001D01Rik	-0.0655129700293094	0.0569502632328213	0.628959235414767
92	92	gene100094	92	1700001F09Rik	-0.0106375258690093	1	0
93	93	gene100095	93	1700001G01Rik	-0.0161907883937908	0.999999904884748	0
94	94	gene100096	94	1700001G11Rik	0.041449791503991	1	0
95	95	gene100097	95	1700001G17Rik	0.0144513306156432	0.571517118970221	0.220362187343341
96	96	gene100098	96	1700001J03Rik	0.0321900178391294	0.391128747574287	0.214383223310879
97	97	gene100100	97	1700001J11Rik	0.0295074893341148	0.0350188263727423	0.625520557140912
98	98	gene100101	98	1700001K19Rik	0.00435541797314979	0.00651559570828437	0.538712681739901
99	99	gene100102	99	1700001K23Rik	0.107839339231953	0.00477426450631333	0.734838241549594
100	100	gene100103	100	1700001L05Rik	-0.227936167510842	0.185473380454015	0.247453076370011
101	101	gene100104	101	1700001L19Rik	-0.0015278316016518	0.508725765812762	0.112531967958206
102	102	gene100105	102	1700001N15Rik	0.00437344335618996	0.834636789682991	0.0587706555205212
103	103	gene100106	103	1700001O22Rik	-0.158634674667821	0.000110449785971007	0.72233595302049
104	104	gene100107	104	1700001P01Rik	0.0296546061166696	1	0
105	105	gene100108	105	1700003C15Rik	0.00722556667541754	0.882381606348035	0.0291652279086791
106	106	gene100109	106	1700003D09Rik	0.00481704445032349	0.882381606347997	0.0291652278755631
107	107	gene100110	107	1700003E16Rik	-0.00623544011590833	1	0
108	108	gene100111	108	1700003E24Rik	0.0038686430436608	0.0912761175120223	0.543372800356524
109	109	gene100112	109	1700003F12Rik	-0.0323153846593716	1	0
110	110	gene100113	110	1700003G18Rik	-0.019574003484212	0.527476036900286	0.13961097561304
111	111	gene100114	111	1700003H04Rik	0.0147393663446893	1	0
112	112	gene100115	112	1700003I16Rik	-0.00171126576854407	0.910323421463455	0.0180989917324694
113	113	gene100117	113	1700003L19Rik	-0.0176044550404154	1	0
114	114	gene100118	114	1700003M07Rik	-0.0174258482400884	0.841994747276775	0.0358201013865752
115	115	gene100119	115	1700003N22Rik	-0.0050512098803728	1	0
116	116	gene100120	116	1700003O11Rik	0.0207539013758414	1	0
117	117	gene100121	117	1700003P14Rik	0.00669341686523935	0.962953931235418	0.00832098442853631
118	118	gene100122	118	1700006A11Rik	-0.0367667306367417	1	0
119	119	gene100123	119	1700006F04Rik	0.00328506333972108	0.134312649454514	0.536790135833445
120	120	gene100124	120	1700006H21Rik	0.000365751057058912	0.0702676252415981	0.60073130226658
121	121	gene100125	121	1700006J14Rik	-0.00493626061263183	1	0
122	122	gene100126	122	1700006P03Rik	-0.000679344036485484	0.531404936866298	0.123897401715955
123	123	gene100127	123	1700007E05Rik	0.00849453625474402	1	0
124	124	gene100128	124	1700007F19Rik	-0.0159218215334123	0.310908976328302	0.371688910526287
125	125	gene100129	125	1700007H22Rik	0.00240852222514933	0.882381606348046	0.0291652278937712
126	126	gene100130	126	1700007J10Rik	-0.0241309650522873	0.0210837322662535	0.693405663178143
127	127	gene100131	127	1700007K13Rik	0.000719428944941392	0.580323189044261	0.0923078543576796
128	128	gene100132	128	1700007L15Rik	0.232571705048696	0.0966622455045072	0.534882241974208
129	129	gene100133	129	1700007M16Rik	0.00281832723696439	1	4.00580397836055e-20
130	130	gene100134	130	1700007P06Rik	0.000122101751046323	1	0
131	131	gene100135	131	1700008A23Rik	0.000122101751046323	1	0
132	132	gene100136	132	1700008B11Rik	0.00671253914866415	0.852696376837529	0.0366149762528355
133	133	gene100137	133	1700008C04Rik	-0.00495006007228138	1	0
134	134	gene100138	134	1700008H02Rik	-0.00609527351275444	0.766191464268376	0.0546330008514771
135	135	gene100139	135	1700008J07Rik	-0.0802533459074312	0.0337696217210639	0.542641227455082
136	136	gene100140	136	1700008K24Rik	-0.0060565001464981	1	0
137	137	gene100142	137	1700008O03Rik	-0.0115761234467311	0.217569197249568	0.235992800457731
138	138	gene100143	138	1700008P02Rik	0.0180823465604486	0.15760494557581	0.336575219955163
